contrast,path length,mass,BMR,ln mass
c0,21.200000,-1772.238750,-203.090742,-0.341273
c1,116.600000,447.067704,24.712809,0.117427
c2,20.400000,-14.302680,-10.516677,-0.138243
c3,46.800000,11.826491,10.611916,0.215195
c4,0.200000,-8.944272,54.783665,-0.075169
c5,0.300000,15.212777,38.623549,0.123474
c6,30.000000,-14.246531,-9.417816,-0.089884
c7,60.700000,-3.537675,-3.405324,-0.023780
c8,11.000000,15.256474,3.642257,0.314719
c9,16.500000,7.088348,4.918538,0.172941
c10,37.200000,-3.835047,-3.150785,-0.100811
c11,14.400000,15.389751,4.247993,0.166473
c12,10.800000,1.633843,-11.110136,0.004756
c13,7.800000,6.194394,9.810774,0.059327
c14,6.500000,-3.336969,-12.809888,-0.041850
c15,4.400000,-4.176166,-7.589562,-0.231143
c16,12.200000,2.783173,1.551996,0.211604
c17,13.200000,-6.827483,-1.980638,-0.294241
c18,2.200000,1.483240,8.427498,0.046081
c19,2.900000,6.783612,7.456589,0.266958
c20,4.000000,0.729205,6.058267,0.014625
c21,10.600000,1.402518,0.332476,0.054418
c22,8.600000,-3.726675,-0.573088,-0.170005
c23,8.500000,2.524772,11.234542,0.103220
c24,2.900000,-0.683593,-10.929607,-0.081722
c25,1.900000,27.523249,18.370329,0.555376
c26,5.800000,-0.498273,-0.631146,-0.014831
c27,5.600000,6.845749,11.219423,0.367236
c28,3.000000,28.603878,25.526577,0.708144
c29,2.400000,-3.025220,-3.427291,0.051765
c30,9.400000,-197.883721,-133.074927,-0.440349
c31,2.200000,-199.532101,-134.095004,-1.076492
c32,6.900000,182.485693,92.950282,0.707263
c33,6.100000,-109.314495,-64.242502,-0.476113
c34,0.500000,-26.445794,22.627417,-0.151220
c35,1.250000,56.242349,44.089908,0.401993
c36,1.150000,55.422753,18.836589,0.491712
c37,1.250000,-61.942281,-23.404720,-0.781412
c38,6.100000,8.173240,25.025108,0.132672
c39,8.700000,8.322666,2.252763,-0.155743
c40,10.200000,-2.849321,1.678281,-0.061406
c41,12.300000,5.068028,-0.163485,0.139909
c42,15.300000,1.426439,-9.126326,0.031882
c43,6.800000,-19.595955,19.020732,-0.150293
c44,6.200000,2.931751,0.903622,0.069235
c45,3.500000,5.037334,3.642277,0.136366
c46,3.700000,3.920024,0.621868,0.109307
c47,8.900000,28.197302,36.636022,0.379942
c48,10.900000,-2.358807,-0.755559,0.027933
c49,7.800000,3.115100,-4.332495,0.045907
c50,8.800000,-2.595669,-3.226046,-0.082949
c51,4.800000,-7.124630,-7.772839,-0.342871
c52,4.800000,-1.351466,1.815286,-0.085758
c53,7.900000,11.121347,6.819131,0.297492
c54,4.600000,10.845467,9.382344,0.257438
c55,5.000000,9.573578,15.099371,0.148689
c56,16.500000,-5.806583,-2.044686,-0.089237
c57,10.300000,18.656303,10.695549,0.080532
c58,10.000000,107.169590,46.314719,0.786825
c59,7.400000,51.757128,20.976177,0.333505
c60,10.000000,5.694941,-2.364004,-0.144029
c61,10.400000,-2.945825,-2.800084,-0.112161
c62,4.700000,33.364498,19.701329,0.373826
c63,18.200000,0.070321,-1.952582,0.003248
c64,16.500000,-8.860016,-9.205480,-0.230378
c65,18.600000,4.080902,-5.703988,0.118445
c66,19.200000,-170.364537,-97.243576,-0.310147
c67,2.700000,-171.028076,-99.593050,-0.775764
c68,3.600000,-87.696389,-52.376472,-0.412528
c69,11.400000,-1.332785,4.934266,-0.065117
c70,5.900000,-2.518560,-8.184474,-0.106616
c71,6.000000,0.766419,2.996674,0.029572
c72,4.200000,-3.401012,4.650164,-0.090362
c73,12.200000,-3.965353,-6.651472,-0.136577
c74,16.800000,6.440940,-2.952098,0.135941
c75,16.200000,4.000077,2.961548,0.160057
c76,3.600000,-19.500712,-65.464418,-0.327204
c77,3.600000,8.011103,11.252438,0.223370
c78,4.600000,9.921646,21.127968,0.197378
c79,5.700000,9.308433,10.389173,0.241413
c80,4.000000,-4.200000,3.350000,-0.086102
c81,3.600000,-1.072381,-5.851468,-0.023156
c82,4.000000,-10.900000,-3.900000,-0.270320
c83,3.800000,3.500685,0.107438,0.090913
c84,7.900000,5.185239,6.423947,0.130951
c85,5.000000,0.047036,-0.091957,-0.020822
c86,1.500000,-5.311154,-6.999744,-0.158146
c87,9.600000,-2.050053,-1.126155,-0.041259
c88,2.200000,5.247644,9.707052,0.140030
c89,11.500000,2.542649,-2.396903,0.080311
c90,14.100000,14.328025,9.866664,0.238253
c91,13.200000,-5.733076,-8.068891,-0.108119
c92,3.500000,-6.511379,-2.380758,-0.145522
c93,1.600000,56.414285,37.075998,0.224959
c94,22.600000,-3.087664,-8.485791,0.025710
c95,11.400000,-6.338133,-1.673386,-0.104291
c96,11.500000,6.731537,4.995856,0.137601
c97,11.800000,2.847343,10.566528,0.061168
c98,23.000000,10.821898,11.274374,0.287267
c99,3.100000,3.263753,3.792904,0.120441
c100,19.600000,7.363589,9.690122,0.242741
c101,3.800000,4.804569,4.323266,0.121292
c102,8.000000,2.687006,5.409367,0.087687
c103,6.200000,4.015974,0.157147,0.113475
c104,10.300000,-7.679009,-7.749769,-0.167134
c105,12.500000,-8.092999,-11.011731,-0.148567
c106,11.100000,-5.966324,1.366675,-0.106790
c107,2.600000,-6.213436,-7.442018,-0.147705
c108,13.300000,5.694175,3.976649,0.115569
c109,19.000000,-3.925665,-4.375427,-0.098652
c110,25.800000,-12.009363,-10.300490,-0.258168
c111,5.400000,-0.386516,1.027389,0.015713
c112,23.600000,-19.391653,-11.354814,-0.234389
c113,13.700000,5.512675,3.862917,-0.033645
c114,25.800000,-0.492187,-2.138060,-0.015365
c115,14.300000,-7.496899,-7.347620,-0.159409
c116,16.200000,-14.656556,-12.099597,-0.216837
c117,10.000000,8.886000,8.285167,0.264347
c118,4.800000,-0.136931,-0.812455,-0.006414
c119,6.000000,3.755884,3.143512,0.160512
c120,7.000000,-4.013067,-7.329850,-0.226847
c121,8.600000,0.716576,0.592221,0.054326
c122,10.000000,0.268664,-1.119386,0.023943
c123,6.000000,4.574331,3.342003,0.151132
c124,6.500000,10.355882,12.945013,0.234304
c125,18.700000,6.312414,7.902791,0.155124
c126,35.600000,21.813190,16.885738,0.480467
c127,2.600000,-7.858845,-3.168760,0.006898
c128,21.200000,-9.195339,-9.825946,-0.306990
c129,24.400000,4.684086,5.031070,0.047979
c130,22.200000,-16.214997,-12.819186,-0.111701
c131,25.800000,-6.989056,-4.114683,-0.039880
c132,3.800000,-6.880639,-3.408872,-0.049852
c133,10.900000,-28.022767,-17.265845,-0.429860
c134,7.000000,3.182518,4.861856,0.062721
c135,10.900000,-0.598523,-0.446820,0.003115
c136,12.600000,-6.597576,-7.977113,-0.023763
c137,13.000000,16.814617,10.661898,0.213704
c138,46.400000,-5.591766,-1.956893,-0.054903
c139,77.400000,228.309249,72.792246,0.365915
c140,25.800000,-4.173746,-9.174366,-0.071891
c141,29.100000,-2.499001,-5.081862,-0.046329
c142,31.800000,-1.826517,-3.418956,-0.136343
c143,32.100000,5.527447,6.543570,0.196761
c144,33.000000,-4.334534,-5.883825,-0.173256
c145,11.000000,-1.115592,-0.304526,-0.018995
c146,6.500000,3.271540,1.872504,0.060849
c147,7.200000,6.737004,6.376457,0.151113
c148,8.200000,-17.831468,-11.557150,-0.248269
c149,32.600000,8.386218,7.739242,0.232031
c150,32.500000,-2.376718,-1.941808,-0.047295
c151,21.400000,-22.913898,-14.937268,-0.119889
c152,32.500000,18.432325,8.460340,0.134283
c153,28.000000,-8.629630,-1.588226,-0.067623
c154,12.500000,-22.442415,-16.663181,-0.290177
c155,15.400000,-9.086102,-5.917529,-0.121704
c156,57.100000,1874.890351,570.173690,0.727091
c157,38.400000,-364.259562,-107.647746,0.001305
c158,3.000000,24.883797,11.720210,0.244112
